年/月,2023/03,2023/03,2023/06,2023/06,2023/09,2023/09,2023/12,2023/12,,,,
季別,1,1,2,2,3,3,4,4,,,,
合併(Y/N),Y,Y,Y,Y,Y,Y,Y,Y,,,,
單季(Q)/單半年(H),累季,Q,累季,Q,累季,Q,累季,Q,,,,
月份,3,3,6,6,9,9,12,12,,,,
幣別,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,,,,
綜合損益歸屬母公司,"203,834,717","203,834,717","392,021,727","188,187,010","629,307,238","237,285,511","830,509,542","201,202,304",,,,
綜合損益歸屬非控制權益,"-181,454","-181,454","-992,354","-810,900","-1,433,366","-441,012","-1,555,669","-122,303",,,,
綜合損益歸屬共同控制下前手權益,0,0,0,0,0,0,0,0,,,,
每股盈餘,7.98,7.98,14.99,7.01,23.13,8.14,32.34,9.21,,,,
加權平均股數,"25,929,088","25,929,088","25,929,178","25,929,268","25,929,208","25,929,267","25,929,223","25,929,223",,,,
發放特別股股息,0,0,0,0,0,0,0,0,,,,
稀釋稅後淨利,"206,986,561","206,986,561","388,785,582","181,799,021","599,785,521","210,999,939","838,497,664",-,,,,
每股盈餘－完全稀釋,7.98,7.98,14.99,7.01,23.13,8.14,32.34,-,,,,
加權平均股數－稀釋,"25,929,376","25,929,376","25,929,365","25,929,415","25,929,338","25,929,358","25,929,267",-,,,,
稅前息前淨利,"247,238,617","247,238,617","464,918,681","217,680,064","709,971,098","245,052,417","991,170,684","281,199,586",,,,
稅前息前折舊前淨利,"357,561,258","357,561,258","699,181,010","341,619,752","1,091,513,589","392,332,579","1,523,361,605","431,848,016",,,,
常續性稅後淨利,"205,913,991","205,913,991","386,089,687","180,175,696","595,851,255","209,761,568","831,702,572","235,851,317",,,,
  庫藏股數－母公司,0,0,0,0,0,0,0,0,,,,
  庫藏股數－子公司持有母公司股票或其他,0,0,0,0,0,0,0,0,,,,
庫藏股數（母持及子持母）,0,0,0,0,0,0,0,0,,,,
